event_id,true_x,true_y,true_z,S1e,S2e,xmax,ymax,xpos,ypos
180,-274.59082,-36.213234,1020.301,111,51874,-279.9,-31.1,-279.79563451165325,-32.100292614050076
181,26.715717,260.36963,470.70584,92,52143,31.1,264.35,28.238036987679134,262.0291079393074
182,184.93373,325.4188,779.9833,98,54752,186.6,311.0,184.90545196533202,313.60979020979016
183,-54.791664,-324.4117,1133.0436,101,53031,-62.2,-326.55,-59.22438317287116,-325.30215318467884
184,-394.96432,164.55885,94.75175,96,56534,-388.75,171.05,-390.9390776699029,168.8620617737123
185,253.0723,-101.345055,364.317,99,52497,248.8,-93.3,248.34264887192668,-95.68551321896639
186,-33.622932,135.82875,613.5784,110,51508,-31.1,139.95,-32.13042191884603,138.9070103529023
187,-296.39673,-251.94768,307.38345,116,53964,-295.45,-264.35,-295.7739651997884,-259.05638635513634
188,-191.66356,-145.41151,875.04083,94,50949,-186.6,-155.5,-189.45845951753503,-152.16785714285714
189,477.3981,9.0763235,438.65005,116,67201,482.05,15.55,476.10133761207527,11.983486348773361
190,-29.684044,204.13557,867.3064,112,51712,-31.1,217.7,-31.207241571360623,213.45908928412896
191,266.24164,-180.15602,460.75098,99,52342,264.35,-171.05,265.36413414996605,-174.08850753608792
192,-222.43312,62.12132,759.09143,99,52474,-217.7,62.2,-219.61502281151382,61.94226561066854
193,187.4015,18.950901,894.67706,106,51941,171.05,15.55,175.50839320896392,16.69338244830861
194,-174.01323,-90.18107,224.64517,118,52530,-171.05,-93.3,-172.90276767162567,-91.67431980479847
195,-328.77377,-64.463905,540.0615,91,52999,-326.55,-62.2,-328.5984965615644,-64.55870828950003
196,431.72348,-211.04428,1140.7649,96,57871,435.4,-202.15,429.87756792585424,-204.6611766365004
197,226.87798,31.063253,352.05856,103,51846,233.25,31.1,229.78403614457832,30.601069730870865
198,-43.364094,-440.34644,749.8973,91,59202,-46.65,-435.4,-44.60906334877014,-438.1732450643163
199,-285.4681,-246.85315,145.53113,66,55727,-295.45,-248.8,-290.9263705906724,-247.67694629245335
